fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220427 114302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.343618862681894	0.445111685206648	4749	13	0.0402315114348312	31172000	1
20220427 114358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.12451689624103	0.648113012178801	12509	15	0.0275356504818774	34670000	2
20220427 114449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.287701269468013	0.33773424888961	5538	25	0.0387959229274808	32287000	3
20220427 114519	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.180139653838321	0.854821250109235	13858	7	0.0261303451678638	35143000	4
20220427 114625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	139	TRUE	0.161202554296155	0.743039620586205	8367	24	0.00849198369008567	34370000	5
20220427 114653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.393800010728824	0.270110055686673	3084	12	0.0235169795763795	34130000	6
20220427 114743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.089544517901272	0.787629619844956	2541	21	0.0173891031498594	36429000	7
20220427 114821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.352149147540471	0.480074153536698	9885	18	0.0212715403530941	35983000	8
20220427 114855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.205760399247042	0.157019374336815	2245	17	0.0423042143685355	29969000	9
20220427 114920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.452935003804683	0.198110228527803	4428	6	0.0479775179284237	28423000	10
20220427 114945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.411178696907661	0.72544613839942	6256	3	0.0117199850807083	36063000	11
20220427 115025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.236064302135224	0.396218995263334	7259	30	0.0467446505921544	30934000	12
20220427 115203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.0438286911055679	0.514629109220114	206	22	0.0334550730331102	33279000	13
20220427 115234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.259808938892081	0.985331112598069	7889	29	0.0125664148828946	36056000	14
20220427 115411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.142074819048599	0.567610826513264	12880	9	0.0371558640676085	32855000	15
20220427 115436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.427311333286809	0.128742581391707	10716	3	0.0333092138404027	32915000	16
