Feature	Gain	Cover	Frequency
mdescubierto_preacordado_avg6_delta1	0.219400972060356	0.00941936842234355	0.00125967248515386
mcaja_ahorro	0.0724297041065104	0.0101595723517099	0.00575850278927479
mvr_mpagospesos	0.0524512571308331	0.00762799545112112	0.00449883030412093
ctrx_quarter_min6	0.0260624076367747	0.00593737575398268	0.00179953212164837
mpasivos_margen_max6	0.0247406249919062	0.00458386789674051	0.00323915781896707
ctrx_quarter_normalizado	0.0236497617802242	0.00987416398665591	0.00269929818247256
ccomisiones_mantenimiento_avg6_delta2	0.0234035266828651	0.000165432605479569	0.000359906424329674
mpasivos_margen_avg6	0.0158748258185824	0.00358423076651348	0.000899766060824186
mpayroll_ratiomax6	0.014441899808885	0.00661060708252737	0.00107971927298902
mpayroll_sobre_edad	0.0127532928014027	0.0109476041552739	0.00161957890948353
cprestamos_personales_avg6_lag1_delta2	0.0107526426712321	6.86092398199906e-05	0.000179953212164837
mprestamos_personales_min6	0.0098440331530534	0.000482885029112105	0.000719812848659349
mpayroll_min6	0.00983886556647535	0.00391078961739325	0.000899766060824186
mcuentas_saldo_min6_delta2	0.00975813175604775	0.00449251233708598	0.00395897066762642
mpasivos_margen_max6_lag1_lag2	0.0095923992989988	0.00260380748190283	0.00125967248515386
cpayroll_trx	0.00936807555217721	0.00206303653093278	0.000179953212164837
mprestamos_personales_avg6_delta1	0.00831992249246645	0.00368273767334482	0.00125967248515386
mcuentas_saldo	0.00795279029529436	0.00632656752037624	0.00377901745546158
Master_status_max6	0.00748453438226368	0.00249868119728254	0.000539859636494512
mprestamos_personales_ratiomax6	0.00684860880688207	0.00993186600262339	0.00377901745546158
mtarjeta_visa_consumo_ratiomax6	0.00635946056571981	0.00220464036378629	0.00179953212164837
mdescubierto_preacordado_tend6_delta1_delta2	0.0063303910147252	0.0124944291943536	0.00359906424329674
Visa_cconsumos_ratioavg6	0.00576737927287459	0.000966793266165109	0.000359906424329674
mpayroll_max6	0.00570910462843662	0.00223665356567182	0.0014396256973187
mprestamos_personales_ratioavg6	0.00540157019762195	0.00388517856217774	0.00161957890948353
mcuentas_saldo_avg6_delta2	0.00525408478414097	0.00301854612159041	0.00251934497030772
mprestamos_personales_ratiomax6_lag1	0.00486745557205551	0.000723342598026616	0.000719812848659349
ctarjeta_visa_trx	0.00410909947144744	0.00211799353548825	0.000539859636494512
mprestamos_personales_avg6_lag2	0.00396078312527648	0.000583292708234134	0.00107971927298902
mdescubierto_preacordado_tend6	0.00393923772732221	0.00486111158081855	0.00161957890948353
mpayroll_ratioavg6	0.00391606913802274	0.00708720104906437	0.0014396256973187
mtarjeta_visa_consumo_tend6	0.00371536997708957	0.0012836384300788	0.000719812848659349
foto_mes	0.00369461178472001	0.00449012896611629	0.00557854957710995
mprestamos_personales_tend6	0.00368956121449744	0.00703782787167974	0.00161957890948353
Visa_msaldopesos	0.00358881872811579	0.00632582819401123	0.00251934497030772
mtarjeta_visa_consumo_ratioavg6	0.00356946681461673	0.00217945883373776	0.00215943854597805
mpayroll_sobre_edad_lag1_lag2	0.0034108595950989	0.000481555722776341	0.000359906424329674
cpayroll_trx_lag1	0.00318093552744991	0.000254752857661793	0.000179953212164837
mpasivos_margen	0.00308254313730334	0.00333223649720864	0.00107971927298902
mprestamos_personales_max6_lag1_delta2	0.00299810659193335	0.000545954875399217	0.000899766060824186
mpayroll	0.0029485004825944	0.00306511997978329	0.000719812848659349
Visa_status_tend6_delta1	0.00278416541234564	0.000760333601631868	0.000359906424329674
mprestamos_personales_ratioavg6_delta1	0.00274159818431345	0.000376312182722534	0.000899766060824186
mtarjeta_visa_consumo	0.00255842936755034	0.0050691474052318	0.00233939175814288
ctarjeta_visa_trx_tend6	0.00255357648053368	0.000322303095776968	0.000719812848659349
mprestamos_personales_avg6_delta2	0.00254094134160293	0.0016095307763891	0.000719812848659349
mvr_mpagominimo	0.00244853120648758	0.00441493614227126	0.00215943854597805
mpagomiscuentas	0.00237667994152198	0.00610184809917513	0.00233939175814288
cpayroll_trx_ratioavg6	0.00235498469136177	0.00710020652804297	0.00125967248515386
mprestamos_personales_ratioavg6_delta2	0.00225864605627715	0.00151692490353297	0.00179953212164837
cproductos_ratioavg6_delta1	0.00224044327454397	0.00302571104571215	0.0014396256973187
Visa_mpagominimo_avg6	0.00223498589148697	0.00421034269053251	0.00377901745546158
cproductos_ratioavg6	0.00221917735859311	0.00481734568169147	0.0014396256973187
mprestamos_personales_ratiomax6_lag1_lag2	0.00219309350050857	0.00161146117110511	0.000899766060824186
mcaja_ahorro_ratioavg6	0.0020607045135167	0.005338318978413	0.00269929818247256
ctrx_quarter_ratioavg6_lag1_lag2	0.002049402143337	0.000352998099736228	0.00125967248515386
cprestamos_personales	0.00200955322208962	0.00126422833589474	0.000899766060824186
mtransferencias_recibidas	0.00197680253379156	0.00297886194581743	0.00269929818247256
ctarjeta_visa_trx_ratiomax6	0.00190169376363803	0.000984068077191439	0.00161957890948353
mcuenta_corriente_min6_delta1	0.00186870166644897	0.00191431714466638	0.00215943854597805
mtarjeta_visa_consumo_min6	0.00182628440646019	0.00322399245232452	0.00125967248515386
mprestamos_personales_ratiomax6_delta2	0.00182353778864933	0.00207747869753889	0.00197948533381321
mcuentas_saldo_ratioavg6	0.00174711098617409	0.00302814378739069	0.0048587367284506
mcomisiones_otras_ratiomax6	0.00173259096840887	0.00231681801989797	0.00377901745546158
mcomisiones_mantenimiento_avg6_delta1	0.00173059186381546	0.00467117505826941	0.00287925139463739
mv_msaldototal	0.00164963497225859	0.00318837272015756	0.00251934497030772
