cp	min_split	minbucket	max_depth	ganancia_promedio
-1	0	0	2	7959333
-1	0	0	3	8798667
-1	0	0	4	8458667
-1	0	0	5	8499333
-1	0	0	6	8936000
-1	0	0	7	8780000
-1	0	0	8	8847333
-1	0	0	9	9082000
-1	0	0	10	9831333
-1	0	50	2	7959333
-1	0	50	3	9152667
-1	0	50	4	9214000
-1	0	50	5	9543333
-1	0	50	6	10012667
-1	0	50	7	9272667
-1	0	50	8	8674667
-1	0	50	9	7320667
-1	0	50	10	6910000
-1	0	100	2	7959333
-1	0	100	3	9152667
-1	0	100	4	9229333
-1	0	100	5	9398000
-1	0	100	6	10054000
-1	0	100	7	8904000
-1	0	100	8	8488000
-1	0	100	9	8008667
-1	0	100	10	7810000
-1	0	150	2	7959333
-1	0	150	3	9122000
-1	0	150	4	9641333
-1	0	150	5	9430667
-1	0	150	6	10105333
-1	0	150	7	9316000
-1	0	150	8	9138667
-1	0	150	9	9026667
-1	0	150	10	8276000
-1	0	200	2	7959333
-1	0	200	3	9152000
-1	0	200	4	9733333
-1	0	200	5	9778000
-1	0	200	6	10423333
-1	0	200	7	10052000
-1	0	200	8	9668000
-1	0	200	9	9211333
-1	0	200	10	9087333
-1	0	250	2	7959333
-1	0	250	3	9152000
-1	0	250	4	9830000
-1	0	250	5	10016667
-1	0	250	6	10330667
-1	0	250	7	10105333
-1	0	250	8	9690000
-1	0	250	9	9652667
-1	0	250	10	9728000
-1	0	300	2	7959333
-1	0	300	3	9151333
-1	0	300	4	9786667
-1	0	300	5	10121333
-1	0	300	6	10174667
-1	0	300	7	10210000
-1	0	300	8	10034000
-1	0	300	9	9966667
-1	0	300	10	9966667
-1	0	350	2	7959333
-1	0	350	3	9151333
-1	0	350	4	9752000
-1	0	350	5	9643333
-1	0	350	6	9999333
-1	0	350	7	9796667
-1	0	350	8	9670667
-1	0	350	9	9654667
-1	0	350	10	9565333
-1	0	400	2	7959333
-1	0	400	3	9010000
-1	0	400	4	9862667
-1	0	400	5	10292667
-1	0	400	6	10456000
-1	0	400	7	10142667
-1	0	400	8	10012667
-1	0	400	9	10012667
-1	0	400	10	10012667
-1	0	450	2	7959333
-1	0	450	3	9010000
-1	0	450	4	9874667
-1	0	450	5	10456000
-1	0	450	6	10401333
-1	0	450	7	10102667
-1	0	450	8	10102667
-1	0	450	9	10102667
-1	0	450	10	10102667
-1	0	500	2	7959333
-1	0	500	3	9010000
-1	0	500	4	9964667
-1	0	500	5	10599333
-1	0	500	6	10790000
-1	0	500	7	10376000
-1	0	500	8	10376000
-1	0	500	9	10376000
-1	0	500	10	10376000
-1	100	0	2	7959333
-1	100	0	3	8798667
-1	100	0	4	8458667
-1	100	0	5	8498667
-1	100	0	6	8927333
-1	100	0	7	8762000
-1	100	0	8	8832667
-1	100	0	9	9034667
-1	100	0	10	9838667
-1	100	50	2	7959333
-1	100	50	3	9152667
-1	100	50	4	9214000
-1	100	50	5	9543333
-1	100	50	6	10012667
-1	100	50	7	9272667
-1	100	50	8	8674667
-1	100	50	9	7320667
-1	100	50	10	6910000
-1	100	100	2	7959333
-1	100	100	3	9152667
-1	100	100	4	9229333
-1	100	100	5	9398000
-1	100	100	6	10054000
-1	100	100	7	8904000
-1	100	100	8	8488000
-1	100	100	9	8008667
-1	100	100	10	7810000
-1	100	150	2	7959333
-1	100	150	3	9122000
-1	100	150	4	9641333
-1	100	150	5	9430667
-1	100	150	6	10105333
-1	100	150	7	9316000
-1	100	150	8	9138667
-1	100	150	9	9026667
-1	100	150	10	8276000
-1	100	200	2	7959333
-1	100	200	3	9152000
-1	100	200	4	9733333
-1	100	200	5	9778000
-1	100	200	6	10423333
-1	100	200	7	10052000
-1	100	200	8	9668000
-1	100	200	9	9211333
-1	100	200	10	9087333
-1	100	250	2	7959333
-1	100	250	3	9152000
-1	100	250	4	9830000
-1	100	250	5	10016667
-1	100	250	6	10330667
-1	100	250	7	10105333
-1	100	250	8	9690000
-1	100	250	9	9652667
-1	100	250	10	9728000
-1	100	300	2	7959333
-1	100	300	3	9151333
-1	100	300	4	9786667
-1	100	300	5	10121333
-1	100	300	6	10174667
-1	100	300	7	10210000
-1	100	300	8	10034000
-1	100	300	9	9966667
-1	100	300	10	9966667
-1	100	350	2	7959333
-1	100	350	3	9151333
-1	100	350	4	9752000
-1	100	350	5	9643333
-1	100	350	6	9999333
-1	100	350	7	9796667
-1	100	350	8	9670667
-1	100	350	9	9654667
-1	100	350	10	9565333
-1	100	400	2	7959333
-1	100	400	3	9010000
-1	100	400	4	9862667
-1	100	400	5	10292667
-1	100	400	6	10456000
-1	100	400	7	10142667
-1	100	400	8	10012667
-1	100	400	9	10012667
-1	100	400	10	10012667
-1	100	450	2	7959333
-1	100	450	3	9010000
-1	100	450	4	9874667
-1	100	450	5	10456000
-1	100	450	6	10401333
-1	100	450	7	10102667
-1	100	450	8	10102667
-1	100	450	9	10102667
-1	100	450	10	10102667
-1	100	500	2	7959333
-1	100	500	3	9010000
-1	100	500	4	9964667
-1	100	500	5	10599333
-1	100	500	6	10790000
-1	100	500	7	10376000
-1	100	500	8	10376000
-1	100	500	9	10376000
-1	100	500	10	10376000
-1	200	0	2	7959333
-1	200	0	3	8798667
-1	200	0	4	8458667
-1	200	0	5	8498667
-1	200	0	6	8927333
-1	200	0	7	8762000
-1	200	0	8	8801333
-1	200	0	9	9003333
-1	200	0	10	9850667
-1	200	50	2	7959333
-1	200	50	3	9152667
-1	200	50	4	9194000
-1	200	50	5	9470667
-1	200	50	6	9830667
-1	200	50	7	9114667
-1	200	50	8	8576000
-1	200	50	9	7109333
-1	200	50	10	6888667
-1	200	100	2	7959333
-1	200	100	3	9152667
-1	200	100	4	9229333
-1	200	100	5	9398000
-1	200	100	6	10054000
-1	200	100	7	8904000
-1	200	100	8	8488000
-1	200	100	9	8008667
-1	200	100	10	7810000
-1	200	150	2	7959333
-1	200	150	3	9122000
-1	200	150	4	9641333
-1	200	150	5	9430667
-1	200	150	6	10105333
-1	200	150	7	9316000
-1	200	150	8	9138667
-1	200	150	9	9026667
-1	200	150	10	8276000
-1	200	200	2	7959333
-1	200	200	3	9152000
-1	200	200	4	9733333
-1	200	200	5	9778000
-1	200	200	6	10423333
-1	200	200	7	10052000
-1	200	200	8	9668000
-1	200	200	9	9211333
-1	200	200	10	9087333
-1	200	250	2	7959333
-1	200	250	3	9152000
-1	200	250	4	9830000
-1	200	250	5	10016667
-1	200	250	6	10330667
-1	200	250	7	10105333
-1	200	250	8	9690000
-1	200	250	9	9652667
-1	200	250	10	9728000
-1	200	300	2	7959333
-1	200	300	3	9151333
-1	200	300	4	9786667
-1	200	300	5	10121333
-1	200	300	6	10174667
-1	200	300	7	10210000
-1	200	300	8	10034000
-1	200	300	9	9966667
-1	200	300	10	9966667
-1	200	350	2	7959333
-1	200	350	3	9151333
-1	200	350	4	9752000
-1	200	350	5	9643333
-1	200	350	6	9999333
-1	200	350	7	9796667
-1	200	350	8	9670667
-1	200	350	9	9654667
-1	200	350	10	9565333
-1	200	400	2	7959333
-1	200	400	3	9010000
-1	200	400	4	9862667
-1	200	400	5	10292667
-1	200	400	6	10456000
-1	200	400	7	10142667
-1	200	400	8	10012667
-1	200	400	9	10012667
-1	200	400	10	10012667
-1	200	450	2	7959333
-1	200	450	3	9010000
-1	200	450	4	9874667
-1	200	450	5	10456000
-1	200	450	6	10401333
-1	200	450	7	10102667
-1	200	450	8	10102667
-1	200	450	9	10102667
-1	200	450	10	10102667
-1	200	500	2	7959333
-1	200	500	3	9010000
-1	200	500	4	9964667
-1	200	500	5	10599333
-1	200	500	6	10790000
-1	200	500	7	10376000
-1	200	500	8	10376000
-1	200	500	9	10376000
-1	200	500	10	10376000
-1	300	0	2	7959333
-1	300	0	3	8798667
-1	300	0	4	8458667
-1	300	0	5	8498667
-1	300	0	6	8927333
-1	300	0	7	8762000
-1	300	0	8	8802000
-1	300	0	9	9004000
-1	300	0	10	9857333
-1	300	50	2	7959333
-1	300	50	3	9152667
-1	300	50	4	9225333
-1	300	50	5	9470000
-1	300	50	6	9858667
-1	300	50	7	9142667
-1	300	50	8	8543333
-1	300	50	9	7362000
-1	300	50	10	7212667
-1	300	100	2	7959333
-1	300	100	3	9152667
-1	300	100	4	9260667
-1	300	100	5	9417333
-1	300	100	6	10066000
-1	300	100	7	8856000
-1	300	100	8	8364000
-1	300	100	9	7976000
-1	300	100	10	7854667
-1	300	150	2	7959333
-1	300	150	3	9122000
-1	300	150	4	9641333
-1	300	150	5	9430667
-1	300	150	6	10105333
-1	300	150	7	9316000
-1	300	150	8	9138667
-1	300	150	9	9026667
-1	300	150	10	8276000
-1	300	200	2	7959333
-1	300	200	3	9152000
-1	300	200	4	9733333
-1	300	200	5	9778000
-1	300	200	6	10423333
-1	300	200	7	10052000
-1	300	200	8	9668000
-1	300	200	9	9211333
-1	300	200	10	9087333
-1	300	250	2	7959333
-1	300	250	3	9152000
-1	300	250	4	9830000
-1	300	250	5	10016667
-1	300	250	6	10330667
-1	300	250	7	10105333
-1	300	250	8	9690000
-1	300	250	9	9652667
-1	300	250	10	9728000
-1	300	300	2	7959333
-1	300	300	3	9151333
-1	300	300	4	9786667
-1	300	300	5	10121333
-1	300	300	6	10174667
-1	300	300	7	10210000
-1	300	300	8	10034000
-1	300	300	9	9966667
-1	300	300	10	9966667
-1	300	350	2	7959333
-1	300	350	3	9151333
-1	300	350	4	9752000
-1	300	350	5	9643333
-1	300	350	6	9999333
-1	300	350	7	9796667
-1	300	350	8	9670667
-1	300	350	9	9654667
-1	300	350	10	9565333
-1	300	400	2	7959333
-1	300	400	3	9010000
-1	300	400	4	9862667
-1	300	400	5	10292667
-1	300	400	6	10456000
-1	300	400	7	10142667
-1	300	400	8	10012667
-1	300	400	9	10012667
-1	300	400	10	10012667
-1	300	450	2	7959333
-1	300	450	3	9010000
-1	300	450	4	9874667
-1	300	450	5	10456000
-1	300	450	6	10401333
-1	300	450	7	10102667
-1	300	450	8	10102667
-1	300	450	9	10102667
-1	300	450	10	10102667
