fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 124812	-0.386098495009355	4902	849	7	5	9161000	1
20220408 124903	-0.0181225005595478	6028	1393	18	5	8880000	2
20220408 125037	-0.5200434393264	3778	397	13	5	9573000	3
20220408 125131	-0.461968428255932	5696	877	8	5	9141000	4
20220408 125220	-0.0750771089515182	7211	1367	17	5	7787000	5
20220408 125257	-0.162753552774666	3461	222	5	5	9509000	6
20220408 125358	-0.300755463786481	4483	548	20	5	9456000	7
20220408 125431	-0.609332581610943	1408	649	4	5	9590000	8
20220408 125521	-0.19202691289538	7756	59	9	5	7564000	9
20220408 125609	-0.704727884620661	6707	1612	15	5	8436000	10
20220408 125636	0.0646050169452792	5291	1768	11	5	0	11
20220408 125743	-0.975643000843411	1858	292	14	5	9903000	12
20220408 125836	-0.984292701428058	6324	476	9	5	9141000	13
20220408 125930	-0.169375303800916	3746	722	12	5	9405000	14
20220408 130021	-0.281759702099953	5805	1747	20	5	8698000	15
20220408 130048	0.0938679734710606	3691	1240	12	5	0	16
20220408 130123	-0.563926738498163	6266	1807	4	5	8768000	17
20220408 130247	-0.923764314736634	442	194	17	5	8154000	18
20220408 130421	-0.582697888065143	1329	41	20	5	8638000	19
20220408 130551	-0.346736102268491	260	121	20	5	7804000	20
20220408 130649	-0.999939714946482	1923	949	20	5	10010000	21
20220408 130718	-0.640118054132677	7821	1	3	5	8200000	22
20220408 130910	-0.999956012463667	2	1	16	5	9193000	23
20220408 131005	-0.97536645167274	3227	1605	20	5	9632000	24
20220408 131146	-0.147401323008317	21	9	20	5	3682000	25
20220408 131242	-0.302007866899519	4004	743	13	5	9648000	26
20220408 131319	-0.170610090609208	3789	1875	5	5	8939000	27
20220408 131401	-0.536657391248392	31	5	4	5	8371000	28
20220408 131501	-0.998937396037696	2716	1354	13	5	9779000	29
20220408 131553	-0.61376371195532	3424	1701	12	5	9379000	30
20220408 131643	-0.499066693754363	4022	1997	20	5	8742000	31
20220408 131710	-0.252639886487112	3215	496	3	5	8252000	32
20220408 131809	-0.992337778493692	4362	469	18	5	9457000	33
20220408 131900	-0.329479807003842	7994	739	9	5	7858000	34
20220408 131929	-0.972862140285257	1704	852	3	5	8201000	35
20220408 132026	-0.423185316863254	4231	519	15	5	9457000	36
20220408 132127	-0.663748688079417	614	307	10	5	10314000	37
20220408 132212	-0.691140084332705	1375	678	6	5	9929000	38
20220408 132345	-0.695774532118741	4	2	16	5	8188000	39
20220408 132436	-0.65836842378859	1847	914	8	5	9826000	40
20220408 132536	-0.763812082335783	1408	203	10	5	10034000	41
20220408 132642	-0.690227352858646	3564	3	10	5	8864000	42
20220408 132745	-0.596358932691395	346	173	10	5	8460000	43
20220408 132813	-0.666157122335102	30	15	3	5	8245000	44
20220408 132913	-0.669620356259	1324	662	12	5	10463000	45
