fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220409 021126	1136	6	815	29	5	11141000	1
20220409 044408	1909	8	1234	46	5	10852000	2
20220409 053225	1018	8	365	26	5	11452000	3
20220409 055106	1696	4	489	11	5	10606000	4
20220409 070822	2171	10	1395	16	5	11767000	5
20220409 080848	900	9	1091	34	5	11431000	6
20220409 081555	347	5	1152	17	5	10998000	7
20220409 094221	1322	7	701	42	5	10884000	8
20220414 161307	1182	6	1077	28	5	11155000	9
20220414 175143	1445	9	1402	36	5	11446000	10
20220414 185402	1747	9	995	18	5	11762000	11
20220414 192031	770	6	934	26	5	11387000	12
20220414 200915	1045	11	396	20	5	11783000	13
20220414 213211	1923	5	580	41	5	10790000	14
20220414 223832	597	11	536	49	5	11203000	15
20220414 225320	1299	5	118	9	5	10933000	16
20220415 014115	2180	12	838	32	5	11480000	17
20220415 021458	1607	4	1189	24	5	10656000	18
20220415 021723	95	10	84	10	5	11308000	19
20220415 050828	2240	8	1464	45	5	11207000	20
20220415 051013	263	3	686	7	5	7810000	21
20220415 054056	850	4	253	43	5	10854000	22
20220415 061919	484	10	1272	38	5	11455000	23
20220415 072134	2409	7	305	16	5	11426000	24
20220415 072350	50	8	581	22	5	11144000	25
20220415 081521	976	11	948	23	5	11663000	26
20220415 085035	2500	11	352	5	5	11628000	27
20220415 092134	2500	9	12	5	5	11596000	28
20220415 095747	855	9	18	21	5	11502000	29
20220415 095906	72	12	10	5	5	9867000	30
20220415 111150	1679	10	490	20	5	12006000	31
20220415 112916	1312	10	689	5	5	11265000	32
20220415 134752	2500	11	216	24	5	11605000	33
20220415 150532	2500	10	414	14	5	11912000	34
20220415 163436	1688	10	347	25	5	11483000	35
20220415 180213	2159	11	1361	18	5	11803000	36
20220415 190417	1772	10	10	16	5	11467000	37
20220415 205434	2500	11	648	19	5	11988000	38
20220415 224049	2499	10	867	20	5	11847000	39
20220415 231800	916	10	640	19	5	11584000	40
20220416 010127	2499	11	504	18	5	12040000	41
20220416 023331	2007	11	502	20	5	11902000	42
20220416 044413	1363	12	1500	41	5	11275000	43
20220416 061646	2480	9	455	19	5	11855000	44
20220416 072417	1560	11	804	19	5	12074000	45
20220416 080132	1529	11	525	10	5	12070000	46
20220416 085833	2500	10	571	10	5	11727000	47
20220416 095407	1587	11	512	15	5	11868000	48
20220416 103108	1323	12	396	11	5	11831000	49
20220416 111037	1539	11	1498	11	5	11819000	50
20220416 122633	1568	12	633	20	5	11994000	51
20220416 130340	1484	10	457	11	5	11907000	52
20220416 134702	599	11	196	32	5	11097000	53
20220416 145646	1559	11	1500	20	5	12063000	54
20220416 160816	1573	11	979	20	5	11964000	55
20220416 164451	1646	11	347	9	5	11904000	56
20220416 175100	1519	11	543	19	5	11766000	57
