fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 005137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.242326516922051	0.710704767232528	11047	7	0.0310259637961281	10825000	1
20220418 005216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.176990159859869	0.452005110902246	8641	14	0.0149802663766119	12968000	2
20220418 005239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.309166897554148	0.205489128533518	2826	19	0.0318247425302009	10702000	3
20220418 005317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.111610061071499	0.237456609378569	12009	10	0.0254320719327855	12199000	4
20220418 005643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	629	TRUE	0.01054087413284	0.674305528224213	5955	12	0.0208577673974408	12775000	5
20220418 005720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.1361629983166	0.635717943779891	9631	23	0.0430499811385137	8821000	6
20220418 005738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.398504333974363	0.384187138994457	8049	5	0.0207585057646308	12927000	7
20220418 005801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	0.333707731244247	0.572209550605621	7011	18	0.0352039933893442	10794000	8
20220418 005836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.271451204157062	0.32425503085251	3860	28	0.0485642889567923	7091000	9
20220418 005854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	8	TRUE	0.468976823089807	0.981613146380987	3232	26	0.0281110565677712	10092000	10
20220418 005935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0389546383225592	0.949404691907112	1053	15	0.0138746831313862	13219000	11
20220418 010017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.215574789096892	0.340641442193883	13948	21	0.0371908919512255	9682000	12
20220418 010053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.171876164364535	0.504144137854455	324	25	0.0100376893649809	11310000	13
20220418 010111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.449592442444537	0.780238897416275	14611	24	0.0473386753175873	6966000	14
20220418 010127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	9	TRUE	0.408856494014931	0.545952359596267	2193	3	0.0376797932816165	10968000	15
20220418 010220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0740530229117605	0.150155612091767	4782	16	0.0229591484244641	12394000	16
20220418 010238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.277292106631712	0.848146940983133	11447	4	0.0168622610440555	13091000	17
20220418 010259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.361088502933912	0.76204139157664	10413	29	0.0116065772885728	11625000	18
20220418 010322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.481184867611353	0.103067860096926	12871	8	0.0416604536105297	8487000	19
20220418 010349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.0992983716076589	0.889142487036297	6240	10	0.044395053217401	8682000	20
20220418 010428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0827462393190351	0.943309733714782	3393	2	0.015543089422198	13316000	21
20220418 010600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	426	TRUE	0.0250145978289385	0.79409727512192	546	7	0.0164547589248023	13417000	22
20220418 010616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.212870812514068	0.9182045659352	1598	10	0.0164737994941448	12579000	23
20220418 013642	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	8343	TRUE	0.00199976843762255	0.461330360355015	8968	2	0.0164594416260984	12908000	24
20220418 015259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	9857	TRUE	0.00140872365242242	0.825106957766407	839	2	0.014357562551458	12464000	25
20220418 015351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0610337072401385	0.92864983518406	3507	16	0.0168413533094294	12809000	26
20220418 015431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0968556598606406	0.616405515419774	6311	6	0.0161400051360873	13410000	27
20220418 015518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0540554017065311	0.996370027194316	3426	7	0.0159621131129125	13561000	28
20220418 015541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.144919111076612	0.271482138881561	8869	3	0.0197852622174681	13102000	29
20220418 015607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.0885870219583695	0.995683585997489	9066	6	0.0155779663940435	13203000	30
20220418 015658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	270	TRUE	0.0628827481612705	0.965203143648773	3493	4	0.0185552890192563	12762000	31
20220418 015830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0327206387100125	0.466244209871269	2811	10	0.0156834551971431	13542000	32
20220418 015902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.364618527098489	0.108054617817284	10451	2	0.015800575070689	13005000	33
20220418 015923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.298463595546098	0.109257681207019	14435	7	0.0203090118827725	12572000	34
20220418 020024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.037561936502515	0.764279835112915	3020	9	0.0156115971775462	13397000	35
20220418 020115	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0582259309285241	0.173012665799485	3193	7	0.0162312759679658	13611000	36
20220418 021725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	4238	TRUE	0.00443058939571909	0.202134902470212	10	13	0.0160045026377402	13426000	37
20220418 021841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	224	TRUE	0.0545187237505608	0.376636744007576	2414	7	0.0162162828617653	13753000	38
20220418 021855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.499115269085074	0.999246811846506	11522	4	0.0152216901990618	12229000	39
20220418 021950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0759062411970268	0.355320320569295	191	7	0.0159951277436899	13245000	40
20220418 023608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	2775	TRUE	0.00232161948394986	0.351827133419365	2428	7	0.0167196730004698	13546000	41
20220418 023848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	506	TRUE	0.0234664216451859	0.211230691122328	1991	19	0.015879481047723	13466000	42
20220418 023938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.221141962998109	0.568789883798625	9994	2	0.022401333291166	12829000	43
20220418 024021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.158130708708106	0.370564721201215	14038	5	0.0161274951411854	12859000	44
20220418 024123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0447001082582894	0.325324949870295	2110	13	0.0162712676699444	13497000	45
20220418 030453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	3872	TRUE	0.00164221259553629	0.221808146797723	2267	17	0.0136175290836235	13446000	46
20220418 034127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	7019	TRUE	0.00121646240118716	0.192875248974785	32	30	0.0141107426231873	13046000	47
20220418 034814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1490	TRUE	0.0124408367258855	0.178677524462142	10127	24	0.0139456596509072	13215000	48
20220418 034858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	172	TRUE	0.244846099222847	0.382924246710258	7356	2	0.0162650775760934	12975000	49
20220418 035027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0459100944112871	0.358693020044614	11485	23	0.0207639661886955	12868000	50
20220418 035133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.0476962932217127	0.241344369007123	10495	7	0.0213890425852066	13154000	51
20220418 035237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0604693462024707	0.313011004230114	10826	15	0.0122703936403664	12991000	52
20220418 035524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	623	TRUE	0.0226267004403541	0.100949808035404	10339	16	0.0161632720830107	12821000	53
20220418 042124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1559	TRUE	0.00116667595684216	0.454686573553489	968	22	0.0146598819085215	13720000	54
