fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220421 174943	0	0	0	1	auto	depthwise	256	0	1	0.0145118350304731	0.596414149184607	10	17	0.0140614507960835	187	13798000	86
20220421 041632	0	0	0	1	auto	depthwise	256	0	1	0.0116831154300549	0.605806926354277	10	22	0.0142406906607956	162	13687000	66
20220421 151022	0	0	0	1	auto	depthwise	256	0	1	0.0145008912537196	0.60366446452986	10	23	0.0138131478483553	187	13665000	83
20220420 183607	0	0	0	1	auto	depthwise	256	0	1	0.0335125952255221	0.37450162903725	10	4	0.0148678134917976	293	13546000	53
20220420 221807	0	0	0	1	auto	depthwise	256	0	1	0.0102990125914251	0.909592567661174	10	30	0.0139506929078745	234	13522000	56
20220419 231724	0	0	0	1	auto	depthwise	256	0	1	0.0100131803092213	0.638440569364154	10	6	0.0139219004556276	295	13521000	32
20220420 120652	0	0	0	1	auto	depthwise	256	0	1	0.0207638541268262	0.590919140039919	10	7	0.0128379482355858	139	13493000	41
20220421 162228	0	0	0	1	auto	depthwise	256	0	1	0.0102569935997362	0.616209518227738	10	22	0.01349528522271	206	13458000	84
20220420 130706	0	0	0	1	auto	depthwise	256	0	1	0.022126994867493	0.563943360795928	10	21	0.0129950248681318	135	13450000	43
20220419 223541	0	0	0	1	auto	depthwise	256	0	1	0.0101604916183129	0.461717822992062	10	4	0.0129745226968624	575	13434000	31
20220420 002131	0	0	0	1	auto	depthwise	256	0	1	0.0101398865647687	0.629350110720354	10	15	0.012904851335677	200	13427000	33
20220420 171943	0	0	0	1	auto	depthwise	256	0	1	0.0101415972300216	0.999912380828516	10	30	0.012222026973546	208	13420000	50
20220421 073248	0	0	0	1	auto	depthwise	256	0	1	0.0102463334679014	0.612418416005838	9	22	0.0139147944301703	176	13397000	69
20220420 135649	0	0	0	1	auto	depthwise	256	0	1	0.0100289479702292	0.559773171180966	10	6	0.0135497817758157	329	13390000	46
20220421 210910	0	0	0	1	auto	depthwise	256	0	1	0.0100149550134463	0.570633642540779	10	3	0.0191656194153032	986	13388000	90
20220419 155655	0	0	0	1	auto	depthwise	256	0	1	0.0234974863866444	0.461351597508866	10	9	0.0140255324981689	136	13376000	27
20220420 152256	0	0	0	1	auto	depthwise	256	0	1	0.0100831714054816	0.479755506026011	10	23	0.0124006501417792	169	13361000	49
20220421 104036	0	0	0	1	auto	depthwise	256	0	1	0.0750752667322063	0.335291618949317	10	3	0.018250212422051	97	13354000	76
20220421 165847	0	0	0	1	auto	depthwise	256	0	1	0.0193041504992887	0.564370638547285	10	23	0.0148061438621094	88	13348000	85
20220420 222707	0	0	0	1	auto	depthwise	256	0	1	0.0423114058066891	0.419097074925896	10	5	0.0139337431798818	118	13325000	57
20220420 101758	0	0	0	1	auto	depthwise	256	0	1	0.0101448044777141	0.820009074155526	10	22	0.0127135554035103	161	13323000	38
20220420 224751	0	0	0	1	auto	depthwise	256	0	1	0.0101958009567605	0.305720819964472	10	2	0.016273922027455	918	13309000	58
20220422 014536	0	0	0	1	auto	depthwise	256	0	1	0.0100432721530025	0.569153226362067	10	30	0.0140139058413906	190	13298000	97
20220420 013207	0	0	0	1	auto	depthwise	256	0	1	0.0100307182912357	0.637279624518721	10	12	0.0143677689955643	265	13272000	35
20220420 182333	0	0	0	1	auto	depthwise	256	0	1	0.0186627580627999	0.700157575461152	10	7	0.0152070601369951	207	13269000	52
20220421 005631	0	0	0	1	auto	depthwise	256	0	1	0.0164593245820608	0.606121280464344	8	4	0.0163539083853054	252	13258000	60
20220421 214143	0	0	0	1	auto	depthwise	256	0	1	0.0245975352038552	0.200009111511282	10	2	0.0207946388155002	633	13236000	94
20220421 014004	0	0	0	1	auto	depthwise	256	0	1	0.0130276259069799	0.646129841830174	9	9	0.0125809979282377	210	13218000	61
20220421 091424	0	0	0	1	auto	depthwise	256	0	1	0.152669839054477	0.443967917276989	10	2	0.0185819184842603	98	13217000	71
20220421 141348	0	0	0	1	auto	depthwise	256	0	1	0.141061237747108	0.608226682212041	7	3	0.0148703202989309	65	13216000	82
20220421 062123	0	0	0	1	auto	depthwise	256	0	1	0.0114388681138519	0.994848596036798	7	22	0.0138905851448434	141	13213000	68
20220419 153709	0	0	0	1	auto	depthwise	256	0	1	0.0466604471530143	0.568457711555262	10	2	0.0153461593605342	254	13207000	26
20220425 084403	0	0	0	1	auto	depthwise	256	0	1	0.0198624828626379	0.957131353837393	10	17	0.0141462707756373	136	13187000	113
20220420 111306	0	0	0	1	auto	depthwise	256	0	1	0.010224049835767	0.925832889742069	10	5	0.0129231612118183	406	13180000	39
20220420 122953	0	0	0	1	auto	depthwise	256	0	1	0.02035002100082	0.781494657715049	7	2	0.0134556196758404	601	13146000	42
20220421 003513	0	0	0	1	auto	depthwise	256	0	1	0.0101141524762925	0.994031085757468	10	28	0.0142667421853772	165	13144000	59
20220421 020730	0	0	0	1	auto	depthwise	256	0	1	0.0100838115365571	0.343623609858077	10	6	0.0116753482416108	232	13131000	63
20220421 091111	0	0	0	1	auto	depthwise	256	0	1	0.0107177453022964	0.853678361065612	6	16	0.0132149664674127	241	13128000	70
20220421 025246	0	0	0	1	auto	depthwise	256	0	1	0.0102129457836137	0.312502982486369	10	15	0.0139479946016479	371	13100000	64
20220425 050158	0	0	0	1	auto	depthwise	256	0	1	0.0170302073925048	0.817358962012591	9	30	0.0141259331573403	162	13095000	108
20220420 202807	0	0	0	1	auto	depthwise	256	0	1	0.0525297047491603	0.851862497313363	7	5	0.013869858804812	98	13092000	55
20220419 160856	0	0	0	1	auto	depthwise	256	0	1	0.0661940095970971	0.532481783387135	9	7	0.0144269646477357	51	13056000	29
20220420 175149	0	0	0	1	auto	depthwise	256	0	1	0.0111208172359616	0.635065386589919	10	2	0.01285072098966	960	13055000	51
20220421 031535	0	0	0	1	auto	depthwise	256	0	1	0.0116944878204747	0.367649761517404	7	2	0.0147326487530098	952	13053000	65
20220420 023939	0	0	0	1	auto	depthwise	256	0	1	0.0100218105569475	0.606887683990408	10	30	0.011010226659158	144	13040000	36
20220420 142317	0	0	0	1	auto	depthwise	256	0	1	0.0329941849100053	0.66651898767661	10	20	0.0124959077305606	55	13026000	47
20220425 113120	0	0	0	1	auto	depthwise	256	0	1	0.1447347162877	0.829813883814569	10	2	0.0176605048166716	74	13017000	116
20220421 214614	0	0	0	1	auto	depthwise	256	0	1	0.110742356529006	0.630752835889452	10	2	0.021186835272599	112	13004000	95
20220421 113235	0	0	0	1	auto	depthwise	256	0	1	0.0103074661142167	0.998453822486921	2	4	0.0128902643059175	382	12996000	78
20220421 042220	0	0	0	1	auto	depthwise	256	0	1	0.145457125738143	0.998775242298863	7	3	0.014212478999809	57	12990000	67
20220422 033934	0	0	0	1	auto	depthwise	256	0	1	0.0112530483143182	0.799565980707772	1	2	0.0121118347411138	1214	12936000	99
20220424 232651	0	0	0	1	auto	depthwise	256	0	1	0.0124487293858287	0.750885885550306	2	2	0.0148511907472661	763	12936000	103
20220421 102640	0	0	0	1	auto	depthwise	256	0	1	0.0126227500547473	0.990381670449217	0	2	0.0136850733059993	1196	12932000	73
20220419 160030	0	0	0	1	auto	depthwise	256	0	1	0.099043642857481	0.21404035489491	10	6	0.0133804806536808	55	12920000	28
20220424 225346	0	0	0	1	auto	depthwise	256	0	1	0.0239548366351912	0.598335923107993	7	15	0.0139587435697046	61	12918000	102
20220425 114928	0	0	0	1	auto	depthwise	256	0	1	0.0409072199384064	0.200292720942328	5	2	0.0140094209792622	221	12860000	118
20220425 065956	0	0	0	1	auto	depthwise	256	0	1	0.0817383439888192	0.917333006416087	2	2	0.0140131252361078	151	12849000	111
20220421 183758	0	0	0	1	auto	depthwise	256	0	1	0.0101880194687653	0.986662510758946	10	4	0.020043682228926	414	12831000	87
20220419 143144	0	0	0	1	auto	depthwise	256	0	1	0.0447191750193015	0.973012350443751	6	10	0.01438994234389	183	12790000	19
