Feature	Gain	Cover	Frequency	ranking
ctrx_quarter	0.0802716083881396	0.016266934033092	0.0221015171380408	1
mpasivos_margen	0.0670986730019967	0.0190243519357461	0.0280951489042892	2
cpayroll_trx	0.053971531424021	0.0156147829172662	0.00355871886120996	3
mcaja_ahorro	0.0534611996119927	0.0202367703490476	0.0313729162764563	4
Visa_msaldototal	0.0430265247274925	0.0154582633310315	0.0187300992695261	5
mcuentas_saldo	0.0320899141151807	0.0330540652434381	0.0341824311668852	6
mtarjeta_visa_consumo	0.031093344690818	0.0148652633450565	0.0223824686270837	7
ctarjeta_visa_trx	0.0305342276195255	0.0183817828051906	0.0175126428170069	8
mpayroll	0.0291654028465033	0.0271197560252332	0.00852219516763439	9
mprestamos_personales	0.0280242338737019	0.0160393630351556	0.0070237872260723	10
mactivos_margen	0.0278581618338932	0.0232400152590926	0.0235999250796029	11
mrentabilidad_annual	0.0275941914740074	0.0266361446099206	0.0290316538677655	12
cliente_edad	0.0221303053303776	0.0240007161185875	0.0297808578385465	13
Visa_fechaalta	0.0177745059732138	0.0169073553978294	0.0246300805394269	14
Master_mfinanciacion_limite	0.0171040114712646	0.0118178094870973	0.0196666042330024	15
Master_Fvencimiento	0.0168777463015704	0.0185138519672505	0.0285634013860274	16
Master_fechaalta	0.0163837880772185	0.0210282543156232	0.0257538864955984	17
Visa_msaldopesos	0.0159182194437498	0.0163290210574197	0.0205094587001311	18
Visa_Fvencimiento	0.0155544800363824	0.0124608302937262	0.02331897359056	19
mcomisiones	0.015513514127374	0.012114095164397	0.0202285072110882	20
chomebanking_trx	0.0150283771062586	0.0126745698641512	0.0196666042330024	21
mcuenta_corriente	0.0148934547794344	0.0125527417657136	0.0132983704813636	22
mcomisiones_otras	0.0123719980100102	0.0106527156648282	0.0156396328900543	23
mrentabilidad	0.0121240826597096	0.0185028873001229	0.0186364487731785	24
Visa_mconsumospesos	0.0114365800739459	0.0124513957945206	0.0210713616782169	25
numero_de_cliente	0.0112296919290623	0.00972781672585167	0.0170443903352688	26
Visa_mlimitecompra	0.0108650342287876	0.0128858943502656	0.017231691327964	27
cliente_antiguedad	0.0108593829003974	0.0120955119202363	0.0180745457950927	28
Visa_mpagominimo	0.0103226224806493	0.0128503179460799	0.0199475557220453	29
Visa_mfinanciacion_limite	0.0100707052679155	0.0129785939509116	0.0162951863644877	30
ctarjeta_debito_trx	0.00998178531051442	0.0105737414860846	0.0162015358681401	31
mcaja_ahorro_dolares	0.00989151421106049	0.0184117178673989	0.0171380408316164	32
mtransferencias_recibidas	0.00896696317106191	0.00927685042918744	0.0169507398389211	33
Visa_cconsumos	0.00874684138802064	0.00858049497438699	0.014703127926578	34
mcomisiones_mantenimiento	0.00857252357207155	0.017076752361094	0.0117999625398015	35
Visa_mpagospesos	0.00824842302367845	0.00846151059163569	0.0148904289192733	36
Visa_mconsumototal	0.00813799979484542	0.00717654286128708	0.0104888555909346	37
mtransferencias_emitidas	0.00798262202652868	0.0100594898408165	0.0133920209777112	38
cproductos	0.00754546071173134	0.00950278525359291	0.0120809140288444	39
ctransferencias_recibidas	0.0074761155926323	0.0153637708529107	0.010395205094587	40
mautoservicio	0.00653247565954223	0.014335668540113	0.0198539052256977	41
ccomisiones_otras	0.00625254067855528	0.0142422960342965	0.012174564525192	42
mtarjeta_visa_debitos_automaticos	0.00610956812331072	0.00724652960795886	0.0116126615471062	43
thomebanking	0.0060413154237307	0.00309761294679872	0.00412062183929575	44
mextraccion_autoservicio	0.00579354146976445	0.00888630732968271	0.0116126615471062	45
ccomisiones_mantenimiento	0.00541348478649455	0.0143265751024322	0.00543172878816258	46
Master_mlimitecompra	0.00528788768358327	0.00725943924756555	0.0105825060872823	47
ctransferencias_emitidas	0.00505958645720973	0.0139197947089844	0.00693013672972467	48
mcuenta_debitos_automaticos	0.0046445460016238	0.00741720324747169	0.00861584566398202	49
mpagomiscuentas	0.00430870905222689	0.00925873729685817	0.00786664169320097	50
Master_msaldopesos	0.0042615668306279	0.00593342430181629	0.00608728226259599	51
cprestamos_personales	0.00423895512269407	0.00630585887793127	0.00299681588312418	52
Master_mpagospesos	0.00410213083878508	0.0118366600497505	0.00683648623337704	53
ccallcenter_trx	0.00393748414626824	0.00812337113451872	0.00299681588312418	54
cextraccion_autoservicio	0.00391233961403227	0.00755896040041102	0.00571268027720547	55
ccaja_ahorro	0.00389784564337193	0.0099325919089025	0.00421427233564338	56
Master_mpagominimo	0.00352331466747912	0.00850085249941246	0.00515077729911969	57
ctarjeta_visa_debitos_automaticos	0.00352235538660469	0.00408659458091676	0.00524442779546732	58
Master_status	0.00350815718899186	0.0112230581041032	0.00187300992695261	59
Master_msaldototal	0.00331516421084639	0.00505814059681554	0.00515077729911969	60
ctarjeta_debito	0.00318706011814099	0.00367137521920059	0.00430792283199101	61
mdescubierto_preacordado	0.00315454628700565	0.00714105402695237	0.00252856340138603	62
Visa_mpagado	0.00314257935843898	0.0115687377862815	0.00646188424798651	63
ccuenta_debitos_automaticos	0.00261499216681149	0.00948569069689843	0.00693013672972467	64
cpagomiscuentas	0.00256327543527788	0.00519906353170103	0.0058063307735531	65
matm	0.00233507172919428	0.00359876137700014	0.00561902978085784	66
Master_mconsumospesos	0.0023184388840986	0.00397894818939447	0.00421427233564338	67
cmobile_app_trx	0.00231297839799181	0.00244059939977504	0.00355871886120996	68
ccajas_consultas	0.00231205846090311	0.0103067594462785	0.00196666042330024	69
mplazo_fijo_dolares	0.00226960710003898	0.016980877201116	0.00309046637947181	70
tcallcenter	0.00216716865270344	0.00233295300825275	0.00112380595617157	71
Visa_mconsumosdolares	0.00210195821474959	0.00375745638269013	0.00383967035025286	72
Visa_fultimo_cierre	0.00196456794175993	0.00166833931995402	0.00280951489042892	73
