Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0793420229453253	0.00611983012750429	0.00276169265033408
mcaja_ahorro_tony	0.0685052964902732	0.00591423089309309	0.00209354120267261
ctrx_quarter_normalizado	0.0540505312608976	0.00197781424167561	0.00102449888641425
mdescubierto_preacordado_tony_tend9	0.0391850820321645	0.00075080358701204	0.000712694877505568
ctrx_quarter_tony	0.0375333190182778	0.0119154034292966	0.00334075723830735
cpayroll_trx	0.0275890532166147	0.0107425510849238	0.00151447661469933
mv_msaldopesos	0.0225387899545272	0.00576339314678976	0.00169265033407572
mdescubierto_preacordado_tony_delta6	0.0207259540955575	0.00198799696007257	0.00155902004454343
mv_msaldototal	0.0151766173818324	0.000724691226226804	0.00089086859688196
cprestamos_personales_ratioavg9	0.0133035454493634	9.40695459883153e-05	0.00022271714922049
mpayroll2_r_delta6	0.0131952607256656	0.00178463799646838	0.00124721603563474
mpayroll_sobre_edad	0.012222573782093	0.0093377113861353	0.00160356347438753
ccomisiones_mantenimiento_tony_ratioavg9	0.0109504765992627	0.00344968052925202	0.00338530066815145
mcuenta_corriente_r_delta6	0.0108683448151471	0.00107098441497769	0.00151447661469933
Visa_msaldototal_tony	0.00897574400459151	0.00390399966362905	0.00124721603563474
Visa_msaldopesos	0.00856800240508502	0.0050503718469916	0.00195991091314031
mprestamos_personales_tony_ratioavg9	0.00819884299947012	0.000950313563097833	0.00044543429844098
mprestamos_personales_ratiomax9	0.00810527702688557	0.00256377093197238	0.00133630289532294
mv_mconsumospesos	0.00781213895068415	0.00266653780731818	0.00142538975501114
mvr_msaldototal	0.00763526501835409	0.00123968793897864	0.00111358574610245
mcuentas_saldo	0.00643394628991065	0.00237216302184944	0.00285077951002227
mprestamos_personales_ratioavg9	0.00594028629512836	0.00468895482940189	0.00195991091314031
mpayroll_r	0.00518336184226844	0.00190506401199664	0.00146993318485523
mtarjeta_visa_consumo_tony	0.00486756745828259	0.00140363770873546	0.000979955456570156
cprestamos_personales_riesgo_delta6	0.0045031616424998	0.000288685705429738	0.000178173719376392
mtransferencias_recibidas_tony	0.00444554744952138	0.00368793540322974	0.00236080178173719
cproductos_ratioavg9	0.00434538976088816	0.00222717915627943	0.00111358574610245
ctarjeta_visa_tony_ratiomax9	0.00415882549954784	0.000424103854760745	0.000133630289532294
invers_x_visa	0.00405190071958161	0.00173607054063727	0.00200445434298441
mv_status01	0.00398871065718141	0.00070944043173166	0.000400890868596882
