archivo	iteracion_bayesiana	ganancia	corte
ZZ8125_063_10000.csv	63	15826000	10000
ZZ8125_063_10500.csv	63	15826000	10500
ZZ8125_063_11000.csv	63	15826000	11000
ZZ8125_063_11500.csv	63	15826000	11500
ZZ8125_063_12000.csv	63	15826000	12000
ZZ8125_063_12500.csv	63	15826000	12500
ZZ8125_063_13000.csv	63	15826000	13000
ZZ8125_062_10000.csv	62	15704000	10000
ZZ8125_062_10500.csv	62	15704000	10500
ZZ8125_062_11000.csv	62	15704000	11000
ZZ8125_062_11500.csv	62	15704000	11500
ZZ8125_062_12000.csv	62	15704000	12000
ZZ8125_062_12500.csv	62	15704000	12500
ZZ8125_062_13000.csv	62	15704000	13000
ZZ8125_033_10000.csv	33	15700000	10000
ZZ8125_033_10500.csv	33	15700000	10500
ZZ8125_033_11000.csv	33	15700000	11000
ZZ8125_033_11500.csv	33	15700000	11500
ZZ8125_033_12000.csv	33	15700000	12000
ZZ8125_033_12500.csv	33	15700000	12500
ZZ8125_033_13000.csv	33	15700000	13000
