Feature	Gain	Cover	Frequency
mdescubierto_preacordado_tend6	0.18131385521555	0.0182348654089763	0.00732600732600733
mcuentas_saldo	0.137889317435707	0.0161039735679208	0.0122344322344322
ctrx_quarter	0.101489019730792	0.0142589209026721	0.00615384615384615
mtarjeta_visa_consumo	0.0163510245295622	0.00691745960171936	0.003003663003663
mdescubierto_preacordado	0.0158179330201927	0.00172765051029917	0.00146520146520147
mpayroll	0.0135410070915878	0.0123019993521198	0.00227106227106227
mcaja_ahorro	0.0118400485234363	0.00449893607504227	0.0052014652014652
Visa_status	0.0111127935113603	0.000951839184229712	0.000659340659340659
Visa_mpagominimo_avg6	0.0110871020446691	0.0031363361036788	0.00454212454212454
mprestamos_personales	0.0109331630857878	0.00872586190547015	0.00315018315018315
cpayroll_trx	0.0107631910838029	0.00685669496657968	0.00139194139194139
mprestamos_personales_tend6	0.0105412989029035	0.00612728473626713	0.00315018315018315
foto_mes	0.00874861792303836	0.00723123417693596	0.0093040293040293
mcuenta_corriente_avg6	0.00768745067527435	0.00968453169518775	0.00871794871794872
ctarjeta_visa_trx	0.00732597305805671	0.00413921913882786	0.00285714285714286
mcomisiones_mantenimiento_tend6	0.00647915259833558	0.00683824075108076	0.00681318681318681
mpasivos_margen	0.0062664720635827	0.00326411794369957	0.00424908424908425
cpayroll_trx_lag1	0.00566054997028088	0.00139031074548321	0.000366300366300366
Visa_msaldototal	0.00500516063588649	0.00126729944745658	0.00205128205128205
mprestamos_personales_lag1	0.00480924617530144	0.00067995472977777	0.00102564102564103
cproductos_tend6	0.00413526187182396	0.00529929445281242	0.00234432234432234
mdescubierto_preacordado_avg6	0.00404010190875423	0.00327198931303153	0.00278388278388278
mactivos_margen	0.00402906668338201	0.00364439258646273	0.00542124542124542
mtarjeta_visa_consumo_tend6	0.00387221736470616	0.000365576661281811	0.00175824175824176
Visa_mpagospesos_tend6	0.00358685498749158	0.00170528032724307	0.00490842490842491
cliente_edad_avg6	0.00340011047130605	0.00512871600418967	0.00835164835164835
mrentabilidad_annual_tend6	0.00337434230034591	0.00426133193569415	0.00835164835164835
mrentabilidad_annual_delta1	0.00332762554706021	0.00321685328849411	0.00864468864468865
Visa_fechaalta	0.00331437794263931	0.00133344909955061	0.00468864468864469
ctrx_quarter_tend6	0.00325770233868127	0.00248741061230632	0.00688644688644689
Master_fechaalta_tend6	0.00315369534740723	0.000953703074970122	0.00205128205128205
cliente_edad	0.00308688437264978	0.0039475813205085	0.00886446886446887
ccomisiones_mantenimiento_tend6	0.00305272344104145	0.00278166924315285	0.00227106227106227
mrentabilidad_avg6	0.0029780782511371	0.00117381140005703	0.00344322344322344
numero_de_cliente	0.00297077141697395	0.00297380622878352	0.0082051282051282
mcuenta_corriente	0.00295849177201329	0.00366782949006309	0.0054945054945055
Visa_fechaalta_lag1	0.00291723295493053	0.00105000193349962	0.00476190476190476
ctrx_quarter_delta1	0.00291260760180636	0.00398801686772801	0.00673992673992674
