rondas	tiradas	reduccion	total_tiradas	confianza
2	10	0.0335	2000	0.0626
2	20	0.087	4000	0.1195
2	30	0.1435	6000	0.1862
2	40	0.2048	8000	0.252
2	50	0.2761	10000	0.3119
2	75	0.4242	15000	0.4573
2	100	0.5422	20000	0.5899
2	125	0.6631	25000	0.6876
2	150	0.7296	30000	0.7653
2	200	0.8557	40000	0.8692
3	10	0.0335	3000	0.0629
3	20	0.087	6000	0.12
3	30	0.1435	9000	0.1864
3	40	0.2048	12000	0.246
3	50	0.2761	15000	0.3194
3	75	0.4242	22500	0.4515
3	100	0.5422	30000	0.5895
3	125	0.6631	37500	0.68
3	150	0.7296	45000	0.7638
3	200	0.8557	60000	0.8749
4	10	0.0335	4000	0.0619
4	20	0.087	8000	0.1225
4	30	0.1435	12000	0.1844
4	40	0.2048	16000	0.2599
4	50	0.2761	20000	0.3118
4	75	0.4242	30000	0.4634
4	100	0.5422	40000	0.5863
4	125	0.6631	50000	0.6756
4	150	0.7296	60000	0.7659
4	200	0.8557	80000	0.8711
5	10	0.0335	5000	0.0618
5	20	0.087	10000	0.1209
5	30	0.1435	15000	0.1885
5	40	0.2048	20000	0.2534
5	50	0.2761	25000	0.3082
5	75	0.4242	37500	0.4734
5	100	0.5422	50000	0.5803
5	125	0.6631	62500	0.6911
5	150	0.7296	75000	0.756
5	200	0.8557	1e+05	0.8677
6	10	0.0335	6000	0.0585
6	20	0.087	12000	0.1226
6	30	0.1435	18000	0.1828
6	40	0.2048	24000	0.2471
6	50	0.2761	30000	0.3075
6	75	0.4242	45000	0.4595
6	100	0.5422	60000	0.5858
6	125	0.6631	75000	0.6772
6	150	0.7296	90000	0.7623
6	200	0.8557	120000	0.8641
7	10	0.0335	7000	0.0623
7	20	0.087	14000	0.1314
7	30	0.1435	21000	0.1877
7	40	0.2048	28000	0.2445
7	50	0.2761	35000	0.3061
7	75	0.4242	52500	0.4587
7	100	0.5422	70000	0.585
7	125	0.6631	87500	0.6791
7	150	0.7296	105000	0.7737
7	200	0.8557	140000	0.8691
8	10	0.0335	8000	0.0587
8	20	0.087	16000	0.1171
8	30	0.1435	24000	0.1881
8	40	0.2048	32000	0.249
8	50	0.2761	40000	0.3102
8	75	0.4242	60000	0.4634
8	100	0.5422	80000	0.5808
8	125	0.6631	1e+05	0.6788
8	150	0.7296	120000	0.764
8	200	0.8557	160000	0.8682
9	10	0.0335	9000	0.0639
9	20	0.087	18000	0.1261
9	30	0.1435	27000	0.1912
9	40	0.2048	36000	0.2524
9	50	0.2761	45000	0.3115
9	75	0.4242	67500	0.4665
9	100	0.5422	90000	0.5854
9	125	0.6631	112500	0.6893
9	150	0.7296	135000	0.7602
9	200	0.8557	180000	0.8711
10	10	0.0335	10000	0.062
10	20	0.087	20000	0.125
10	30	0.1435	30000	0.1835
10	40	0.2048	40000	0.2506
10	50	0.2761	50000	0.3122
10	75	0.4242	75000	0.4542
10	100	0.5422	1e+05	0.5811
10	125	0.6631	125000	0.6886
10	150	0.7296	150000	0.7641
10	200	0.8557	2e+05	0.8706
