numero_de_cliente	foto_mes	active_quarter	cliente_vip	internet	cliente_edad	cliente_antiguedad	mrentabilidad	mrentabilidad_annual	mcomisiones	mactivos_margen	mpasivos_margen	cproductos	tpaquete1	tpaquete2	tpaquete7	tpaquete9	tcuentas	ccuenta_corriente	mcuenta_corriente_adicional	mcuenta_corriente	ccaja_ahorro	mcaja_ahorro	mcaja_ahorro_adicional	mcaja_ahorro_dolares	mdescubierto_preacordado	mcuentas_saldo	ctarjeta_debito	ctarjeta_debito_trx	mautoservicio	ctarjeta_visa	ctarjeta_visa_trx	mtarjeta_visa_consumo	ctarjeta_master	ctarjeta_master_trx	mtarjeta_master_consumo	cprestamos_personales	mprestamos_personales	cprestamos_prendarios	mprestamos_prendarios	cprestamos_hipotecarios	mprestamos_hipotecarios	cplazo_fijo	mplazo_fijo_dolares	mplazo_fijo_pesos	cinversion1	minversion1_pesos	minversion1_dolares	cinversion2	minversion2	cseguro_vida	cseguro_auto	cseguro_vivienda	cseguro_accidentes_personales	ccaja_seguridad	cpayroll_trx	mpayroll	mpayroll2	cpayroll2_trx	ccuenta_debitos_automaticos	mcuenta_debitos_automaticos	ctarjeta_visa_debitos_automaticos	mtarjeta_visa_debitos_automaticos	ctarjeta_master_debitos_automaticos	mttarjeta_master_debitos_automaticos	cpagodeservicios	mpagodeservicios	cpagomiscuentas	mpagomiscuentas	ccajeros_propios_descuentos	mcajeros_propios_descuentos	ctarjeta_visa_descuentos	mtarjeta_visa_descuentos	ctarjeta_master_descuentos	mtarjeta_master_descuentos	ccomisiones_mantenimiento	mcomisiones_mantenimiento	ccomisiones_otras	mcomisiones_otras	cforex	cforex_buy	mforex_buy	cforex_sell	mforex_sell	ctransferencias_recibidas	mtransferencias_recibidas	ctransferencias_emitidas	mtransferencias_emitidas	cextraccion_autoservicio	mextraccion_autoservicio	ccheques_depositados	mcheques_depositados	ccheques_emitidos	mcheques_emitidos	ccheques_depositados_rechazados	mcheques_depositados_rechazados	ccheques_emitidos_rechazados	mcheques_emitidos_rechazados	tcallcenter	ccallcenter_trx	thomebanking	chomebanking_trx	ccajas_trx	ccajas_consultas	ccajas_depositos	ccajas_extracciones	ccajas_otras	catm_trx	matm	catm_trx_other	matm_other	ctrx_quarter	tmobile_app	cmobile_app_trx	Master_delinquency	Master_status	Master_mfinanciacion_limite	Master_Fvencimiento	Master_Finiciomora	Master_msaldototal	Master_msaldopesos	Master_msaldodolares	Master_mconsumospesos	Master_mconsumosdolares	Master_mlimitecompra	Master_madelantopesos	Master_madelantodolares	Master_fultimo_cierre	Master_mpagado	Master_mpagospesos	Master_mpagosdolares	Master_fechaalta	Master_mconsumototal	Master_cconsumos	Master_cadelantosefectivo	Master_mpagominimo	Visa_delinquency	Visa_status	Visa_mfinanciacion_limite	Visa_Fvencimiento	Visa_Finiciomora	Visa_msaldototal	Visa_msaldopesos	Visa_msaldodolares	Visa_mconsumospesos	Visa_mconsumosdolares	Visa_mlimitecompra	Visa_madelantopesos	Visa_madelantodolares	Visa_fultimo_cierre	Visa_mpagado	Visa_mpagospesos	Visa_mpagosdolares	Visa_fechaalta	Visa_mconsumototal	Visa_cconsumos	Visa_cadelantosefectivo	Visa_mpagominimo	clase_ternaria
4580855	202002	1	0	1	46	278	354.03	12242.02	65.68	130.67	115.78	8	1	0	0	0	1	1	0	-5902.12	2	0	0	306775.31	1.17	293101.19	3	0	0	1	12	11773.28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	-102.01	12	65.68	0	0	0	0	0	1	9360	0	0	1	702	0	0	0	0	0	0	0	0	1	6	1	61	1	0	0	1	0	1	702	0	0	59	0	0	0	0	176904	-152		0	0	0			196560			10	0			956				0	0	0	176904	-1552		15382.98	17998.08	0	4560.83	0	196560	0	0	24	17998.08	-7614.36	0	5786	4560.83	3	0	1298.7	CONTINUA
4580855	202003	1	0	1	46	279	1494.62	11593.97	1183.44	164.17	101.8	8	1	0	0	0	1	1	0	-14083.03	2	0	0	312729.4	1.17	302550.49	3	11	6905.63	1	11	12561.16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	440.9	0	0	0	0	0	0	0	0	0	0	0	0	1	961.62	8	1183.44	0	0	0	0	0	1	7020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	0	0	63	0	0	0	0	176904	-121		0	0	0			196560			13	0			987				0	0	0	176904	-1521		10746.78	12573.73	0	7737.86	0	196560	0	0	27	12573.73	-17998.08	0	5817	7737.86	4	0	596.7	CONTINUA
4580855	202004	1	0	1	46	280	113.17	10024.96	1192.37	-1003.16	80.77	7	1	0	0	0	1	1	0	-3756.58	2	21.02	0	324206.12	1.17	323724.37	2	2	515.47	1	13	15932.03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	440.9	0	0	0	0	0	0	0	0	0	0	0	0	1	961.62	10	1192.37	0	0	0	0	0	1	3510	0	0	1	1170	0	0	0	0	0	0	0	0	1	1	1	98	0	0	0	0	0	1	1170	0	0	70	0	0	0	0	176904	-91		0	0	0			196560			8	0			1017				0	0	0	176904	-1491		13630.74	15947.96	0	10174.07	0	196560	0	0	23	5382	-12573.73	0	5847	10174.07	7	0	702	CONTINUA
4580855	202005	1	0	1	46	281	559.97	10010.14	370.69	84.68	77.1	7	1	0	0	0	1	1	0	-2375.29	2	1835.95	0	332672.26	1.17	345108.39	2	5	3248.92	1	9	12446.47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29.36	0	0	0	0	0	0	0	0	0	0	0	0	1	961.62	10	370.69	1	0	0	1	4.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	76	0	0	0	0	0	0	0	0	0	77	0	0	0	0	176904	-60		0	0	0			196560			11	0			1048				0	0	0	176904	-1460		10648.65	12458.92	0	8261.77	0	196560	0	0	25	19478.92	-5382	0	5878	8261.77	5	0	561.6	BAJA+2
4580855	202006	0	0	0	46	282	0	0	0	0	0	7	1	0	0	0	1	1	0	-144.63	2	200.17	0	205259.85	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	46.8	0	0	1	4902.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	176904	-1856		0	0	0			196560			6	0			1078				0	0	0	176904	-1430		6721.55	7864.21	0	8140.12	0	196560	0	0	20	7864.21	-24743.92	0	5908	8140.12	3	0	0	BAJA+1
4605422	201801	1	0	0	68	258	4635.84	50525.12	1922.77	-252.99	2571.85	8	1	0	0	0	1	1	0	0	2	160911.41	0	94.73	1.17	224157.73	2	4	8093.83	1	41	32521.58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1519.22	14	15054.48	0	0	0	0	4	70476.85	1	0	0	0	0	0	1	555.98	16	1922.77	0	0	0	0	0	0	0	0	0	0	0	9	162903.78	1	5924.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203			0	0	25272	-1763		-7.46	-7.46	0			28080			0	0			437				0	0	0	31590	-1763		31993.91	37229.03	203.83	22673.66	10.51	35100	4680	0	0	0	-58218.89	1196.8	4466	22673.66	21	2	6516.9	CONTINUA
4605422	201802	1	0	1	68	259	3638.07	52067.51	1518.2	-404.73	2216.59	8	1	0	0	0	1	1	0	0	2	137830.69	0	96.95	1.17	91983.93	2	5	4213.94	1	47	42508.73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1557.19	15	13405.23	0	0	0	0	3	52849.89	0	0	0	0	0	0	1	555.98	12	1518.2	0	0	0	0	0	0	0	0	0	0	0	6	45194.76	3	23549.76	1	2035.8	1	5924.88	0	0	1	23	1	0	1	1	0	0	0	0	0	179			0	0	25272	-1735		-7.46	-7.46	0			28080			0	0			465				0	0	0	31590	-1735		31993.91	37229.03	203.83	22673.66	10.51	35100	4680	0	28	37441.5	-58218.89	1196.8	4494	22673.66	21	2	6516.9	CONTINUA
4605422	201803	1	0	1	68	260	3312.78	53329.16	1726.89	-294.65	1650.11	8	1	0	0	0	1	1	0	0	2	97371.91	0	97.09	1.17	133118.86	2	0	0	1	45	20735.83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1557.19	12	8956.59	0	0	0	0	2	61872.88	0	0	0	0	0	0	1	656.06	18	1726.89	0	0	0	0	0	0	0	0	0	0	0	23	311326.7	1	5922.78	2	26725.72	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	183			0	0	31590	-1704		-7.46	-7.46	0			35100			4	0			496				0	0	0	50544	-1704		17642.36	20392.22	249.33	11757.2	17.05	56160	0	0	4	0	-42413.26	784.48	4525	11757.2	20	0	1158.3	CONTINUA
4605422	201804	1	0	1	68	261	4019	53467.12	1494.52	-289.09	2446.77	8	1	0	0	0	1	1	0	0	2	160101.29	0	99.74	1.17	189811.14	2	0	0	1	39	19565.24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1644.01	13	9852.61	0	0	0	0	3	85876.56	0	0	0	0	0	0	1	656.06	14	1494.52	0	0	0	0	0	0	0	0	0	0	0	8	261928.48	2	41480.01	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	175			0	0	31590	-1674		-7.46	-7.46	0			35100			5	0			526				0	0	0	50544	-1674		16721.01	19323.63	239.94	11074.19	11.67	56160	0	0	5	0	-20646.6	12.37	4555	11074.19	16	0	1123.2	CONTINUA
4605422	201805	1	0	1	68	262	4867.27	54919.05	1758.12	-327.63	2985.02	8	1	0	0	0	1	1	0	0	2	217243.31	0	120.25	1.17	244267.63	2	1	14976	1	40	22330.54	1	1	1936.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1803.75	14	9836.06	0	0	0	0	5	53417.53	0	0	0	0	1	410.5	1	656.06	16	1758.12	0	0	0	0	0	0	0	0	0	0	0	18	397177.36	1	6169.41	1	16078.38	0	0	0	0	1	71	1	0	0	4	0	0	0	0	0	185			0	0	31590	-1643		1518.37	1518.37	0	1525.84	0	35100	0	0	1	0	0	0	557	1525.84	2	0	46.8	0	0	50544	-1643		18936.25	21864.11	291.29	12751.15	18.69	56160	0	0	1	0	-19614.94	11.67	4586	12751.15	21	0	1158.3	CONTINUA
