V1,V2,N
201801,"",0
201802,"",0
201803,"",0
201804,"",0
201805,"",0
201806,"",0
201807,"",0
201808,"",0
201809,"",0
201810,"",0
201811,"",0
201812,"",0
201901,"",0
201902,"",0
201903,"",0
201904,"",0
201905,"",0
201906,"",0
201907,"",0
201908,"",0
201909,"",0
201910,"",0
201911,"",0
201912,"",0
202001,"",0
202002,"",0
202003,"",0
202004,"",0
202005,"",0
202006,"",0
202007,"",0
202008,"",0
202009,"",0
202010,"",0
202011,"",0
201801,BAJA+1,442
201802,BAJA+1,556
201803,BAJA+1,564
201804,BAJA+1,763
201805,BAJA+1,719
201806,BAJA+1,815
201807,BAJA+1,848
201808,BAJA+1,853
201809,BAJA+1,839
201810,BAJA+1,663
201811,BAJA+1,628
201812,BAJA+1,772
201901,BAJA+1,617
201902,BAJA+1,701
201903,BAJA+1,628
201904,BAJA+1,718
201905,BAJA+1,518
201906,BAJA+1,642
201907,BAJA+1,579
201908,BAJA+1,636
201909,BAJA+1,523
201910,BAJA+1,590
201911,BAJA+1,597
201912,BAJA+1,714
202001,BAJA+1,579
202002,BAJA+1,541
202003,BAJA+1,179
202004,BAJA+1,326
202005,BAJA+1,552
202006,BAJA+1,606
202007,BAJA+1,562
202008,BAJA+1,524
202009,BAJA+1,448
202010,BAJA+1,529
202011,BAJA+1,511
201801,BAJA+2,553
201802,BAJA+2,558
201803,BAJA+2,757
201804,BAJA+2,717
201805,BAJA+2,807
201806,BAJA+2,847
201807,BAJA+2,844
201808,BAJA+2,838
201809,BAJA+2,655
201810,BAJA+2,624
201811,BAJA+2,769
201812,BAJA+2,614
201901,BAJA+2,696
201902,BAJA+2,628
201903,BAJA+2,717
201904,BAJA+2,516
201905,BAJA+2,639
201906,BAJA+2,572
201907,BAJA+2,634
201908,BAJA+2,516
201909,BAJA+2,580
201910,BAJA+2,594
201911,BAJA+2,710
201912,BAJA+2,572
202001,BAJA+2,537
202002,BAJA+2,177
202003,BAJA+2,325
202004,BAJA+2,550
202005,BAJA+2,597
202006,BAJA+2,560
202007,BAJA+2,520
202008,BAJA+2,448
202009,BAJA+2,526
202010,BAJA+2,508
202011,BAJA+2,648
201801,CONTINUA,114411
201802,CONTINUA,115441
201803,CONTINUA,116415
201804,CONTINUA,117142
201805,CONTINUA,117742
201806,CONTINUA,118030
201807,CONTINUA,118471
201808,CONTINUA,119192
201809,CONTINUA,119935
201810,CONTINUA,120706
201811,CONTINUA,121031
201812,CONTINUA,121457
201901,CONTINUA,122141
201902,CONTINUA,123211
201903,CONTINUA,123812
201904,CONTINUA,124543
201905,CONTINUA,125279
201906,CONTINUA,126788
201907,CONTINUA,128363
201908,CONTINUA,130342
201909,CONTINUA,132036
201910,CONTINUA,134233
201911,CONTINUA,135979
201912,CONTINUA,138004
202001,CONTINUA,141510
202002,CONTINUA,145041
202003,CONTINUA,147351
202004,CONTINUA,147458
202005,CONTINUA,148673
202006,CONTINUA,151115
202007,CONTINUA,153181
202008,CONTINUA,154727
202009,CONTINUA,156049
202010,CONTINUA,157379
202011,CONTINUA,158229
